id;name;p0;p1;p2;p3;p4;p5;p6;p7;p8;p9;p10;p11;;;;grouped label;category
922;menu; ; ; ; ; ; ; ; ; ; ; ; ;;;;;
959;carbonara; ; ; ; ; ; ; ; ; ; ; ; ;;;;;
971;bubble; ; ; ; ; ; ; ; ; ; ; ; ;;;;;
932;pretzel; ; ; ; ; ; ; ; ; ; ; ; ;;;;pretzel;food
919;street sign; ; ; ; ; ; ; ; ; ; ; ; ;;;;;
999;toilet tissue, toilet paper, bathroom tissue; ; ; ; ; ; ; ; ; ; ; ; ;;;;;
930;French loaf; ; ; ; ; ; ; ; ; ; ; ; ;;;;;
920;traffic light, traffic signal, stoplight; ; ; ; ; ; ; ; ; ; ; ; ;;;;;
931;bagel, beigel;bun, roll; ; ; ; ; ; ; ; ; ; ; ;;;;;
960;chocolate sauce, chocolate syrup;sauce; ; ; ; ; ; ; ; ; ; ; ;;;;;
924;guacamole;dip; ; ; ; ; ; ; ; ; ; ; ;;;;;
958;hay;feed, provender;fodder; ; ; ; ; ; ; ; ; ; ;;;;;
934;hotdog, hot dog, red hot;sandwich; ; ; ; ; ; ; ; ; ; ; ;;;;hotdog;food
933;cheeseburger;sandwich;hamburger, beefburger, burger; ; ; ; ; ; ; ; ; ; ;;;;cheeseburger;food
935;mashed potato;foodstuff, food product;starches;potato, white potato, Irish potato, murphy, spud, tater; ; ; ; ; ; ; ; ; ;;;;;
961;dough;foodstuff, food product;concoction, mixture, intermixture; ; ; ; ; ; ; ; ; ; ;;;;;
926;hot pot, hotpot;nutriment, nourishment, nutrition, sustenance, aliment, alimentation, victuals;dish;stew; ; ; ; ; ; ; ; ; ;;;;;
962;meat loaf, meatloaf;nutriment, nourishment, nutrition, sustenance, aliment, alimentation, victuals;dish; ; ; ; ; ; ; ; ; ; ;;;;;
925;consomme;nutriment, nourishment, nutrition, sustenance, aliment, alimentation, victuals;dish;soup; ; ; ; ; ; ; ; ; ;;;;;
964;potpie;nutriment, nourishment, nutrition, sustenance, aliment, alimentation, victuals;dish; ; ; ; ; ; ; ; ; ; ;;;;;
965;burrito;nutriment, nourishment, nutrition, sustenance, aliment, alimentation, victuals;dish; ; ; ; ; ; ; ; ; ; ;;;;burrito;food
963;pizza, pizza pie;nutriment, nourishment, nutrition, sustenance, aliment, alimentation, victuals;dish; ; ; ; ; ; ; ; ; ; ;;;;pizza;food
923;plate;nutriment, nourishment, nutrition, sustenance, aliment, alimentation, victuals;course;entree, main course; ; ; ; ; ; ; ; ; ;;;;;
929;ice lolly, lolly, lollipop, popsicle;nutriment, nourishment, nutrition, sustenance, aliment, alimentation, victuals;course;dessert, sweet, afters;frozen dessert; ; ; ; ; ; ; ; ;;;;;
928;ice cream, icecream;nutriment, nourishment, nutrition, sustenance, aliment, alimentation, victuals;course;dessert, sweet, afters;frozen dessert; ; ; ; ; ; ; ; ;;;;ice cream;food
927;trifle;nutriment, nourishment, nutrition, sustenance, aliment, alimentation, victuals;course;dessert, sweet, afters;pudding, pud; ; ; ; ; ; ; ; ;;;;;
972;cliff, drop, drop-off;geological formation, formation; ; ; ; ; ; ; ; ; ; ; ;;;;;
979;valley, vale;geological formation, formation;natural depression, depression; ; ; ; ; ; ; ; ; ; ;;;;;
970;alp;geological formation, formation;natural elevation, elevation;mountain, mount; ; ; ; ; ; ; ; ; ;;;;;
980;volcano;geological formation, formation;natural elevation, elevation;mountain, mount; ; ; ; ; ; ; ; ; ;;;;;
976;promontory, headland, head, foreland;geological formation, formation;natural elevation, elevation; ; ; ; ; ; ; ; ; ; ;;;;;
977;sandbar, sand bar;geological formation, formation;natural elevation, elevation;ridge;bar; ; ; ; ; ; ; ; ;;;;;
973;coral reef;geological formation, formation;natural elevation, elevation;ridge;reef; ; ; ; ; ; ; ; ;;;;;
975;lakeside, lakeshore;geological formation, formation;shore; ; ; ; ; ; ; ; ; ; ;;;;;
978;seashore, coast, seacoast, sea-coast;geological formation, formation;shore; ; ; ; ; ; ; ; ; ; ;;;;;
974;geyser;geological formation, formation;spring, fountain, outflow, outpouring, natural spring; ; ; ; ; ; ; ; ; ; ;;;;;
967;espresso;beverage, drink, drinkable, potable;coffee, java; ; ; ; ; ; ; ; ; ; ;;;;;
966;red wine;beverage, drink, drinkable, potable;alcohol, alcoholic drink, alcoholic beverage, intoxicant, inebriant;wine, vino; ; ; ; ; ; ; ; ; ;;;;;
969;eggnog;beverage, drink, drinkable, potable;alcohol, alcoholic drink, alcoholic beverage, intoxicant, inebriant;mixed drink;punch; ; ; ; ; ; ; ; ;;;;;
968;cup;beverage, drink, drinkable, potable;alcohol, alcoholic drink, alcoholic beverage, intoxicant, inebriant;mixed drink;punch; ; ; ; ; ; ; ; ;;;;;
945;bell pepper;vegetable, veggie, veg;solanaceous vegetable;pepper;sweet pepper; ; ; ; ; ; ; ; ;;;;bell pepper;vegetable
936;head cabbage;vegetable, veggie, veg;cruciferous vegetable;cabbage, chou; ; ; ; ; ; ; ; ; ;;;;head cabbage;vegetable
937;broccoli;vegetable, veggie, veg;cruciferous vegetable; ; ; ; ; ; ; ; ; ; ;;;;broccoli;vegetable
938;cauliflower;vegetable, veggie, veg;cruciferous vegetable; ; ; ; ; ; ; ; ; ; ;;;;cauliflower;vegetable
941;acorn squash;vegetable, veggie, veg;squash;winter squash; ; ; ; ; ; ; ; ; ;;;;;
942;butternut squash;vegetable, veggie, veg;squash;winter squash; ; ; ; ; ; ; ; ; ;;;;;
939;zucchini, courgette;vegetable, veggie, veg;squash;summer squash; ; ; ; ; ; ; ; ; ;;;;;
940;spaghetti squash;vegetable, veggie, veg;squash;summer squash; ; ; ; ; ; ; ; ; ;;;;;
943;cucumber, cuke;vegetable, veggie, veg; ; ; ; ; ; ; ; ; ; ; ;;;;cucumber;vegetable
944;artichoke, globe artichoke;vegetable, veggie, veg; ; ; ; ; ; ; ; ; ; ; ;;;;artichoke;vegetable
946;cardoon;vegetable, veggie, veg; ; ; ; ; ; ; ; ; ; ; ;;;;;
947;mushroom;vegetable, veggie, veg; ; ; ; ; ; ; ; ; ; ; ;;;;mushroom;vegetable
948;Granny Smith;natural object;plant part, plant structure;plant organ;reproductive structure;fruit;edible fruit;apple;eating apple, dessert apple; ; ; ; ;;;;apple;fruit
949;strawberry;natural object;plant part, plant structure;plant organ;reproductive structure;fruit;edible fruit;berry; ; ; ; ; ;;;;strawberry;fruit
950;orange;natural object;plant part, plant structure;plant organ;reproductive structure;fruit;edible fruit;citrus, citrus fruit, citrous fruit; ; ; ; ; ;;;;orange;fruit
951;lemon;natural object;plant part, plant structure;plant organ;reproductive structure;fruit;edible fruit;citrus, citrus fruit, citrous fruit; ; ; ; ; ;;;;lemon;fruit
952;fig;natural object;plant part, plant structure;plant organ;reproductive structure;fruit;edible fruit; ; ; ; ; ; ;;;;fig;fruit
953;pineapple, ananas;natural object;plant part, plant structure;plant organ;reproductive structure;fruit;edible fruit; ; ; ; ; ; ;;;;pineapple;fruit
954;banana;natural object;plant part, plant structure;plant organ;reproductive structure;fruit;edible fruit; ; ; ; ; ; ;;;;banana;fruit
955;jackfruit, jak, jack;natural object;plant part, plant structure;plant organ;reproductive structure;fruit;edible fruit; ; ; ; ; ; ;;;;;
956;custard apple;natural object;plant part, plant structure;plant organ;reproductive structure;fruit;edible fruit; ; ; ; ; ; ;;;;;
957;pomegranate;natural object;plant part, plant structure;plant organ;reproductive structure;fruit;edible fruit; ; ; ; ; ; ;;;;pomegranate;fruit
988;acorn;natural object;plant part, plant structure;plant organ;reproductive structure;fruit; ; ; ; ; ; ; ;;;;;
989;hip, rose hip, rosehip;natural object;plant part, plant structure;plant organ;reproductive structure;fruit; ; ; ; ; ; ; ;;;;;
998;ear, spike, capitulum;natural object;plant part, plant structure;plant organ;reproductive structure;fruit; ; ; ; ; ; ; ;;;;;
984;rapeseed;natural object;plant part, plant structure;plant organ;reproductive structure;fruit;seed;oilseed, oil-rich seed; ; ; ; ; ;;;;;
987;corn;natural object;plant part, plant structure;plant organ;reproductive structure;fruit;seed;grain, caryopsis;kernel; ; ; ; ;;;;;
990;buckeye, horse chestnut, conker;natural object;plant part, plant structure;plant organ;reproductive structure;fruit;seed; ; ; ; ; ; ;;;;;
579;grand piano, grand;artifact, artefact;instrumentality, instrumentation;device;musical instrument, instrument;percussion instrument, percussive instrument;piano, pianoforte, forte-piano; ; ; ; ; ; ;;;;piano;musical instrument
881;upright, upright piano;artifact, artefact;instrumentality, instrumentation;device;musical instrument, instrument;percussion instrument, percussive instrument;piano, pianoforte, forte-piano; ; ; ; ; ; ;;;;piano;musical instrument
494;chime, bell, gong;artifact, artefact;instrumentality, instrumentation;device;musical instrument, instrument;percussion instrument, percussive instrument; ; ; ; ; ; ; ;;;;;
541;drum, membranophone, tympan;artifact, artefact;instrumentality, instrumentation;device;musical instrument, instrument;percussion instrument, percussive instrument; ; ; ; ; ; ; ;;;;drum;musical instrument
577;gong, tam-tam;artifact, artefact;instrumentality, instrumentation;device;musical instrument, instrument;percussion instrument, percussive instrument; ; ; ; ; ; ; ;;;;;
641;maraca;artifact, artefact;instrumentality, instrumentation;device;musical instrument, instrument;percussion instrument, percussive instrument; ; ; ; ; ; ; ;;;;;
642;marimba, xylophone;artifact, artefact;instrumentality, instrumentation;device;musical instrument, instrument;percussion instrument, percussive instrument; ; ; ; ; ; ; ;;;;;
822;steel drum;artifact, artefact;instrumentality, instrumentation;device;musical instrument, instrument;percussion instrument, percussive instrument; ; ; ; ; ; ; ;;;;drum;musical instrument
420;banjo;artifact, artefact;instrumentality, instrumentation;device;musical instrument, instrument;stringed instrument; ; ; ; ; ; ; ;;;;banjo;musical instrument
486;cello, violoncello;artifact, artefact;instrumentality, instrumentation;device;musical instrument, instrument;stringed instrument;bowed stringed instrument, string; ; ; ; ; ; ;;;;;
889;violin, fiddle;artifact, artefact;instrumentality, instrumentation;device;musical instrument, instrument;stringed instrument;bowed stringed instrument, string; ; ; ; ; ; ;;;;violin;musical instrument
594;harp;artifact, artefact;instrumentality, instrumentation;device;musical instrument, instrument;stringed instrument;chordophone; ; ; ; ; ; ;;;;harp;musical instrument
402;acoustic guitar;artifact, artefact;instrumentality, instrumentation;device;musical instrument, instrument;stringed instrument;guitar; ; ; ; ; ; ;;;;acoustic guitar;musical instrument
546;electric guitar;artifact, artefact;instrumentality, instrumentation;device;musical instrument, instrument;stringed instrument;guitar; ; ; ; ; ; ;;;;electric guitar;musical instrument
687;organ, pipe organ;artifact, artefact;instrumentality, instrumentation;device;musical instrument, instrument;wind instrument, wind; ; ; ; ; ; ; ;;;;;
513;cornet, horn, trumpet, trump;artifact, artefact;instrumentality, instrumentation;device;musical instrument, instrument;wind instrument, wind;brass, brass instrument; ; ; ; ; ; ;;;;trumpet;musical instrument
566;French horn, horn;artifact, artefact;instrumentality, instrumentation;device;musical instrument, instrument;wind instrument, wind;brass, brass instrument; ; ; ; ; ; ;;;;;
875;trombone;artifact, artefact;instrumentality, instrumentation;device;musical instrument, instrument;wind instrument, wind;brass, brass instrument; ; ; ; ; ; ;;;;;
401;accordion, piano accordion, squeeze box;artifact, artefact;instrumentality, instrumentation;device;musical instrument, instrument;wind instrument, wind;free-reed instrument; ; ; ; ; ; ;;;;accordion;musical instrument
593;harmonica, mouth organ, harp, mouth harp;artifact, artefact;instrumentality, instrumentation;device;musical instrument, instrument;wind instrument, wind;free-reed instrument; ; ; ; ; ; ;;;;;
684;ocarina, sweet potato;artifact, artefact;instrumentality, instrumentation;device;musical instrument, instrument;wind instrument, wind; ; ; ; ; ; ; ;;;;;
699;panpipe, pandean pipe, syrinx;artifact, artefact;instrumentality, instrumentation;device;musical instrument, instrument;wind instrument, wind;pipe; ; ; ; ; ; ;;;;;
432;bassoon;artifact, artefact;instrumentality, instrumentation;device;musical instrument, instrument;wind instrument, wind;woodwind, woodwind instrument, wood;beating-reed instrument, reed instrument, reed;double-reed instrument, double reed; ; ; ; ;;;;;
683;oboe, hautboy, hautbois;artifact, artefact;instrumentality, instrumentation;device;musical instrument, instrument;wind instrument, wind;woodwind, woodwind instrument, wood;beating-reed instrument, reed instrument, reed;double-reed instrument, double reed; ; ; ; ;;;;;
776;sax, saxophone;artifact, artefact;instrumentality, instrumentation;device;musical instrument, instrument;wind instrument, wind;woodwind, woodwind instrument, wood;beating-reed instrument, reed instrument, reed;single-reed instrument, single-reed woodwind; ; ; ; ;;;;saxophone;musical instrument
558;flute, transverse flute;artifact, artefact;instrumentality, instrumentation;device;musical instrument, instrument;wind instrument, wind;woodwind, woodwind instrument, wood; ; ; ; ; ; ;;;;;
908;wing;artifact, artefact;instrumentality, instrumentation;device;airfoil, aerofoil, control surface, surface; ; ; ; ; ; ; ; ;;;;;
691;oxygen mask;artifact, artefact;instrumentality, instrumentation;device;breathing device, breathing apparatus, breathing machine, ventilator; ; ; ; ; ; ; ; ;;;;;
801;snorkel;artifact, artefact;instrumentality, instrumentation;device;breathing device, breathing apparatus, breathing machine, ventilator; ; ; ; ; ; ; ; ;;;;;
632;loudspeaker, speaker, speaker unit, loudspeaker system, speaker system;artifact, artefact;instrumentality, instrumentation;device;electrical device;transducer;electro-acoustic transducer; ; ; ; ; ; ;;;;;
650;microphone, mike;artifact, artefact;instrumentality, instrumentation;device;electrical device;transducer;electro-acoustic transducer; ; ; ; ; ; ;;;;;
782;screen, CRT screen;artifact, artefact;instrumentality, instrumentation;device;electronic device;display, video display; ; ; ; ; ; ; ;;;;;
673;mouse, computer mouse;artifact, artefact;instrumentality, instrumentation;device;electronic device; ; ; ; ; ; ; ; ;;;;;
545;electric fan, blower;artifact, artefact;instrumentality, instrumentation;device;fan; ; ; ; ; ; ; ; ;;;;;
686;oil filter;artifact, artefact;instrumentality, instrumentation;device;filter; ; ; ; ; ; ; ; ;;;;;
828;strainer;artifact, artefact;instrumentality, instrumentation;device;filter; ; ; ; ; ; ; ; ;;;;;
811;space heater;artifact, artefact;instrumentality, instrumentation;device;heater, warmer; ; ; ; ; ; ; ; ;;;;;
827;stove;artifact, artefact;instrumentality, instrumentation;device;heater, warmer; ; ; ; ; ; ; ; ;;;;;
583;guillotine;artifact, artefact;instrumentality, instrumentation;device;instrument;instrument of execution; ; ; ; ; ; ; ;;;;;
426;barometer;artifact, artefact;instrumentality, instrumentation;device;instrument;measuring instrument, measuring system, measuring device; ; ; ; ; ; ; ;;;;;
769;rule, ruler;artifact, artefact;instrumentality, instrumentation;device;instrument;measuring instrument, measuring system, measuring device;measuring stick, measure, measuring rod; ; ; ; ; ; ;;;;;
685;odometer, hodometer, mileometer, milometer;artifact, artefact;instrumentality, instrumentation;device;instrument;measuring instrument, measuring system, measuring device;meter; ; ; ; ; ; ;;;;;
778;scale, weighing machine;artifact, artefact;instrumentality, instrumentation;device;instrument;measuring instrument, measuring system, measuring device; ; ; ; ; ; ; ;;;;;
531;digital watch;artifact, artefact;instrumentality, instrumentation;device;instrument;measuring instrument, measuring system, measuring device;timepiece, timekeeper, horologe;watch, ticker; ; ; ; ; ;;;;;
409;analog clock;artifact, artefact;instrumentality, instrumentation;device;instrument;measuring instrument, measuring system, measuring device;timepiece, timekeeper, horologe;clock; ; ; ; ; ;;;;;
530;digital clock;artifact, artefact;instrumentality, instrumentation;device;instrument;measuring instrument, measuring system, measuring device;timepiece, timekeeper, horologe;clock; ; ; ; ; ;;;;;
892;wall clock;artifact, artefact;instrumentality, instrumentation;device;instrument;measuring instrument, measuring system, measuring device;timepiece, timekeeper, horologe;clock; ; ; ; ; ;;;;;
604;hourglass;artifact, artefact;instrumentality, instrumentation;device;instrument;measuring instrument, measuring system, measuring device;timepiece, timekeeper, horologe;sandglass; ; ; ; ; ;;;;;
835;sundial;artifact, artefact;instrumentality, instrumentation;device;instrument;measuring instrument, measuring system, measuring device;timepiece, timekeeper, horologe; ; ; ; ; ; ;;;;;
704;parking meter;artifact, artefact;instrumentality, instrumentation;device;instrument;measuring instrument, measuring system, measuring device;timepiece, timekeeper, horologe;timer; ; ; ; ; ;;;;;
826;stopwatch, stop watch;artifact, artefact;instrumentality, instrumentation;device;instrument;measuring instrument, measuring system, measuring device;timepiece, timekeeper, horologe;timer; ; ; ; ; ;;;;;
823;stethoscope;artifact, artefact;instrumentality, instrumentation;device;instrument;medical instrument; ; ; ; ; ; ; ;;;;;
845;syringe;artifact, artefact;instrumentality, instrumentation;device;instrument;medical instrument; ; ; ; ; ; ; ;;;;;
635;magnetic compass;artifact, artefact;instrumentality, instrumentation;device;instrument;navigational instrument;compass; ; ; ; ; ; ;;;;;
447;binoculars, field glasses, opera glasses;artifact, artefact;instrumentality, instrumentation;device;instrument;optical instrument; ; ; ; ; ; ; ;;;;;
745;projector;artifact, artefact;instrumentality, instrumentation;device;instrument;optical instrument; ; ; ; ; ; ; ;;;;;
837;sunglasses, dark glasses, shades;artifact, artefact;instrumentality, instrumentation;device;instrument;optical instrument;spectacles, specs, eyeglasses, glasses; ; ; ; ; ; ;;;;;
633;loupe, jeweler's loupe;artifact, artefact;instrumentality, instrumentation;device;instrument;scientific instrument;magnifier;microscope;light microscope;hand glass, simple microscope, magnifying glass; ; ; ;;;;;
755;radio telescope, radio reflector;artifact, artefact;instrumentality, instrumentation;device;instrument;scientific instrument;magnifier;telescope, scope;astronomical telescope; ; ; ; ;;;;;
657;missile;artifact, artefact;instrumentality, instrumentation;device;instrument;weapon, arm, weapon system; ; ; ; ; ; ; ;;;;missile;weapon
456;bow;artifact, artefact;instrumentality, instrumentation;device;instrument;weapon, arm, weapon system; ; ; ; ; ; ; ;;;;bow;weapon
471;cannon;artifact, artefact;instrumentality, instrumentation;device;instrument;weapon, arm, weapon system;gun; ; ; ; ; ; ;;;;cannon;weapon
413;assault rifle, assault gun;artifact, artefact;instrumentality, instrumentation;device;instrument;weapon, arm, weapon system;gun;firearm, piece, small-arm;autoloader, self-loader;automatic firearm, automatic gun, automatic weapon;automatic rifle, automatic, machine rifle; ; ;;;;assault rifle;weapon
763;revolver, six-gun, six-shooter;artifact, artefact;instrumentality, instrumentation;device;instrument;weapon, arm, weapon system;gun;firearm, piece, small-arm;pistol, handgun, side arm, shooting iron; ; ; ; ;;;;revolve;weapon
764;rifle;artifact, artefact;instrumentality, instrumentation;device;instrument;weapon, arm, weapon system;gun;firearm, piece, small-arm; ; ; ; ; ;;;;rifle;weapon
744;projectile, missile;artifact, artefact;instrumentality, instrumentation;device;instrument;weapon, arm, weapon system; ; ; ; ; ; ; ;;;;projectile;weapon
508;computer keyboard, keypad;artifact, artefact;instrumentality, instrumentation;device;keyboard; ; ; ; ; ; ; ; ;;;;;
878;typewriter keyboard;artifact, artefact;instrumentality, instrumentation;device;keyboard; ; ; ; ; ; ; ; ;;;;;
517;crane;artifact, artefact;instrumentality, instrumentation;device;lifting device; ; ; ; ; ; ; ; ;;;;;
626;lighter, light, igniter, ignitor;artifact, artefact;instrumentality, instrumentation;device; ; ; ; ; ; ; ; ; ;;;;;
740;power drill;artifact, artefact;instrumentality, instrumentation;device;machine;power tool; ; ; ; ; ; ; ;;;;;
491;chain saw, chainsaw;artifact, artefact;instrumentality, instrumentation;device;machine;power tool;power saw, saw, sawing machine; ; ; ; ; ; ;;;;;
398;abacus;artifact, artefact;instrumentality, instrumentation;device;machine;calculator, calculating machine; ; ; ; ; ; ; ;;;;;
480;cash machine, cash dispenser, automated teller machine, automatic teller machine, automated teller, automatic teller, ATM;artifact, artefact;instrumentality, instrumentation;device;machine; ; ; ; ; ; ; ; ;;;;;
798;slide rule, slipstick;artifact, artefact;instrumentality, instrumentation;device;machine;computer, computing machine, computing device, data processor, electronic computer, information processing system;analog computer, analogue computer; ; ; ; ; ; ;;;;;
